School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Network,Is_GoCPS_Participant,Is_GoCPS_PreK,Is_GoCPS_Elementary,Is_GoCPS_High_School,Open_For_Enrollment_Date,Closed_For_Enrollment_Date,School_Latitude,School_Longitude,Location,multiSensory,SignificantlyModifiedMOD,transition
400009,2025,63011,GLOBAL CITIZENSHIP,Academy for Global Citizenship Charter School,ES,FALSE,TRUE,TRUE,FALSE,"AGC is a dual-language International Baccalaureate charter school that prepares students to be environmentally and internationally minded by examining how their choices impact our community and the world. Organic, nutritionally balanced meals, daily yoga, gardening, wellness instruction and ecologically sustainable practices throughout the school are core to our mission",Director,Saskia Rombouts,Executive Director,Sarah Elizabeth Ippel,4942 W 44TH ST,Chicago,Illinois,60638,7735821100,7735821101,https://www.cps.edu/schools/schoolprofiles/400009,https://agcchicago.org,https://www.facebook.com/globalchicago,https://twitter.com/globalchicago,,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,474,278,75,164,13,436,15,0,2,0,0,1,2,5,There are 474 students enrolled at GLOBAL CITIZENSHIP.  58.6% are Low Income Students.  15.8% are Diverse Learners.  34.6% are Limited English Learners.,The largest demographic at GLOBAL CITIZENSHIP is Hispanic.  This demographic makes up 92% of the student population.  The second greatest demographic is White at 3.2%.,TRUE,,Full Day,7:30 AM - 3:40 PM,,4:00 PM -5:15 PM,7:45 AM,Spanish,TRUE,,TRUE,,,,,,"47, 54, 62",Orange,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Admissions Officer,Yolanda Diaz,Admissions Officer,Mayrela Cordero,Director of Operations,Paul Guilianelli,Lower School Principal,Saskia Rombouts,Upper School Principal,Berenice Salas,Charter,FALSE,FALSE,FALSE,FALSE,7/1/2008,,41.807579,-87.740097,POINT (-87.740097 41.807579),0,0,0
400011,4730,66151,LOCKE A,Alain Locke Charter School,ES,FALSE,TRUE,TRUE,FALSE,"The mission of Alain Locke Charter School is to serve as a demonstration for urban charter schools by exemplifying excellence in academics, the arts and personal and social development. In doing so, Alain Locke prepares students to be globally competitive.",Director,Patrick Love,,,3141 W JACKSON BLVD,Chicago,Illinois,60612,7732657232,7732657258,https://www.cps.edu/schools/schoolprofiles/400011,https://www.alainlocke.org,,,,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,371,274,56,0,367,4,0,0,0,0,0,0,0,0,There are 371 students enrolled at LOCKE A.  73.9% are Low Income Students.  15.1% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at LOCKE A is Black.  This demographic makes up 98.9% of the student population.  The second greatest demographic is Hispanic at 1.1%.,TRUE,,Full Day,08:20 AM-04:00 PM,,,8:00 AM,,,,TRUE,,,,,,"20, 52, 126",Blue,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,,,,,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.877248,-87.705235,POINT (-87.705235 41.877248),0,0,0
400021,4371,66432,CATALYST - CIRCLE ROCK,Catalyst Elementary Charter School - Circle Rock,ES,FALSE,TRUE,TRUE,FALSE,<p>Catalyst Schools holistically educates the young men and women entrusted to its care by a school community committed to teaching minds and touching hearts.&nbsp; We envision a life of meaning and purpose for all people in a world that is just and peaceful.</p>,Director,Elizabeth Jamison-Dunn,Principal,Elizabeth Jamison-Dunn,5608 W WASHINGTON BLVD,Chicago,Illinois,60644,7739455025,3126262345,https://www.cps.edu/schools/schoolprofiles/400021,https://catalystschools.org/circle-rock,https://www.facebook.com/thecatalystschools,https://twitter.com/catalystschools/,,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,504,429,67,1,494,7,1,1,1,0,0,0,0,0,There are 504 students enrolled at CATALYST - CIRCLE ROCK.  85.1% are Low Income Students.  13.3% are Diverse Learners.  0.2% are Limited English Learners.,The largest demographic at CATALYST - CIRCLE ROCK is Black.  This demographic makes up 98% of the student population.  The second greatest demographic is Hispanic at 1.4%.,TRUE,,Full Day,8:00 am-3:30 pm,,,7:30 AM,,,,TRUE,,,,,,,,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Manager of School Operations,LaQuesha Miller,Assistant Principal,Erika Whitehead,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,7/1/2007,,41.882322,-87.765322,POINT (-87.765322 41.882322),0,0,0
400023,6580,66371,CICS - AVALON/SOUTH SHORE,CICS - Avalon/South Shore,ES,FALSE,TRUE,TRUE,FALSE,"<p>At Chicago International Charter School (CICS) - Avalon Campus, the staff believes every child has the capacity to succeed. Teachers, students, and parents set high academic and personal standards. Avalon partners with the Community Schools grant that enhances learning and classroom activities.&nbsp;</p>  <p>&nbsp;</p>  <p><strong><span style=""text-decoration: underline;"">Mental Health and Suicide Prevention Resources</span></strong></p>  <p>https://www.cps.edu/services-and-supports/health-and-wellness/mental-health/</p>  <p>https://www.cps.edu/about/non-discrimination-statement/</p>",Director,De'Jenne Grant,ES Principal,Shavon Mathus,1501 E 83RD PL,Chicago,Illinois,60619,7737210858,7737310142,https://www.cps.edu/schools/schoolprofiles/400023,https://www.regenerationschools.org/cics-avalon,https://www.facebook.com/CICSAVALON/,,,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,438,347,62,1,435,3,0,0,0,0,0,0,0,0,There are 438 students enrolled at CICS - AVALON/SOUTH SHORE.  79.2% are Low Income Students.  14.2% are Diverse Learners.  0.2% are Limited English Learners.,The largest demographic at CICS - AVALON/SOUTH SHORE is Black.  This demographic makes up 99.3% of the student population.  The second greatest demographic is Hispanic at 0.7%.,TRUE,,Full Day,7:35 AM - 3:30 PM,,,7:15 AM,,TRUE,,TRUE,,,,,,,,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,MS Principal,Darryl Patteson,Facility Manager,Marques Hull,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.743179,-87.587928,POINT (-87.587928 41.743179),0,0,0
400024,7130,66231,CICS - BASIL,CICS - Basil,ES,FALSE,TRUE,TRUE,FALSE,<p>Chicago International Charter Schools (CICS) - Basil Campus dedicates itself to preparing students for high school and beyond by emphasizing achievement through action and accountability. Parents are encouraged to participate in the CICS - Basil Parent Organization and volunteer both during the school day and at special events.</p>,Director,James Johnstone,AP/Director of Operations,Emily Hoelting,1816 W GARFIELD BLVD,Chicago,Illinois,60609,7737789455,7733041495,https://www.cps.edu/schools/schoolprofiles/400024,http://www.regenerationschools.org/cics-basil/,,,,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,481,417,66,53,365,101,1,0,0,0,0,1,0,13,There are 481 students enrolled at CICS - BASIL.  86.7% are Low Income Students.  13.7% are Diverse Learners.  11% are Limited English Learners.,The largest demographic at CICS - BASIL is Black.  This demographic makes up 75.9% of the student population.  The second greatest demographic is Hispanic at 21%.,TRUE,,Full Day,"7:45 AM-3:25 PM Mon - Thurs, 7:45 AM - 1:50 PM Fri",,"3:45 PM -6:00 PM Mon- Thurs, 1:50 PM - 6:00 PM Fri",7:15 AM,,TRUE,,TRUE,,,,,,,Red,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Elementary School Principal,James Johnstone,Middle School Principal,Martine Louisma,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.794043,-87.670243,POINT (-87.670243 41.794043),0,0,0
400025,4910,66071,CICS - BUCKTOWN,CICS - Bucktown,ES,FALSE,TRUE,TRUE,FALSE,"C.I.C.S. - Bucktown offers students in Grades K-8 a quality college-prep elementary education in a racially and culturally diverse environment. Our school promotes hands-on and project-based learning experiences along with an after-school program that provides fine arts, Health and Wellness, and Academic Tutoring. We are one of the top 5 charter schools in the city.",Director,Kory Kliebert,Campus Operations Manager,Linda Cabrales,2235 N HAMILTON AVE,Chicago,Illinois,60647,7736453321,7736453327,https://www.cps.edu/schools/schoolprofiles/400025,https://www.cicsbucktown.org,https://www.facebook.com/cicsbucktown,https://twitter.com/cicsbucktown,http://www.youtube.com/distinctiveschools,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,544,409,94,107,119,395,11,2,3,0,0,9,0,5,There are 544 students enrolled at CICS - BUCKTOWN.  75.2% are Low Income Students.  17.3% are Diverse Learners.  19.7% are Limited English Learners.,The largest demographic at CICS - BUCKTOWN is Hispanic.  This demographic makes up 72.6% of the student population.  The second greatest demographic is Black at 21.9%.,TRUE,,Full Day,8:00am-3:30 pm,,3:30pm - 6:00pm,7:00 AM,,TRUE,,TRUE,,,,,,,,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,,,,,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.922415,-87.681358,POINT (-87.681358 41.922415),0,0,0
400026,4914,66075,CICS - LOOMIS,CICS - Loomis Primary,ES,FALSE,FALSE,TRUE,FALSE,"<p>CICS Loomis is part of the Chicago International Charter School (CICS) network and is one of three direct operated CICS Campuses.</p>  <p>CICS, founded in 1997, is one of Illinois&rsquo; largest charter networks with two decades of experience managing a diverse portfolio of innovative public charter schools. Our vibrant network of diverse Chicago charter schools enables students to thrive every day, puts them on a path to success in college and life, and empowers entrepreneurial educators to pursue excellence through innovation.</p>  <p>CICS Loomis Primary Academy's mission is to inspire children to learn by providing engaging and rigorous experiences that foster independence in a safe and nurturing environment. We collaborate with families and the community to pave the road for our children to become cooperative learners, critical thinkers, and strong leaders who will positively affect the world around them.</p>",Director,JoeAnn Nash,School Principal,Tyson Daniel,9535 S LOOMIS ST,Chicago,Illinois,60643,7734298955,7734298441,https://www.cps.edu/schools/schoolprofiles/400026,https://www.cicsloomislongwood.org,https://www.facebook.com/CICSLoomisLongwood,https://twitter.com/CICS_schools,https://www.youtube.com/user/chicagointl,,FALSE,"K,1,2",K-2,351,212,22,1,329,6,0,0,0,0,0,1,0,15,There are 351 students enrolled at CICS - LOOMIS.  60.4% are Low Income Students.  6.3% are Diverse Learners.  0.3% are Limited English Learners.,The largest demographic at CICS - LOOMIS is Black.  This demographic makes up 93.7% of the student population.  The second greatest demographic is Other at 4.6%.,FALSE,,Full Day,8:00 AM - 3:00 PM,,3:30 pm- 5:30 pm,7:25 AM,,TRUE,,TRUE,,,,,,95,Red,Rock Island District (RI),,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Assistant Principal,JoAnn Nash,Dean of Students,Gerald Chapman,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,7/1/2008,,41.720246,-87.657561,POINT (-87.657561 41.720246),0,0,0
400027,4913,66074,CICS - IRVING PARK,CICS - Irving Park,ES,FALSE,TRUE,TRUE,FALSE,"The mission of CICS - Irving Park is to educate and nurture our children by fostering a safe and positive environment conducive to a high quality college preparatory education for all children. Each child will develop the confidence and academic skills to grow academically, socially, intellectually and morally into lifelong learners.",Director,John Kuebler,Director,J.W. Kuebler,3820 N SPAULDING AVE,Chicago,Illinois,60618,7734335000,7734335009,https://www.cps.edu/schools/schoolprofiles/400027,https://www.cicsirvingpark.org,https://www.facebook.com/cicsirvingpark,https://twitter.com/Distinctive_Edu,http://www.youtube.com/distinctiveschools,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,510,323,61,180,28,389,55,19,3,0,0,11,5,0,There are 510 students enrolled at CICS - IRVING PARK.  63.3% are Low Income Students.  12% are Diverse Learners.  35.3% are Limited English Learners.,The largest demographic at CICS - IRVING PARK is Hispanic.  This demographic makes up 76.3% of the student population.  The second greatest demographic is White at 10.8%.,TRUE,,Full Day,8:00 am-3:30 pm,,3:30 pm-6:00 pm,7:45 AM,,TRUE,FALSE,TRUE,,,,,,,Blue,"Milwaukee District North (MD-N), Union Pacific Northwest (UP-NW)",,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,,,,,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.950891,-87.710492,POINT (-87.710492 41.950891),0,0,0
400028,4220,66161,CICS - PRAIRIE,CICS - Prairie,ES,FALSE,TRUE,TRUE,FALSE,"CICS - Prairie has welcomed children and families since 1998. CICS - Prairie offers an opportunity to excel in an environment that encourages creativity and responsibility. Emphasis is placed on active student participatory learning in reading, math, language arts, social studies, and science through a variety of innovative teaching strategies such as the Paideia Method.",Director,Rachel Beucher,School Director,Rachael Beucher,11530 S PRAIRIE AVE,Chicago,Illinois,60628,7739280480,7739286971,https://www.cps.edu/schools/schoolprofiles/400028,https://www.cicsprairie.org,https://www.facebook.com/cicsprairie,https://twitter.com/cics_prairie,http://www.youtube.com/distinctiveschools,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,419,340,55,92,265,136,3,0,1,0,0,0,0,14,There are 419 students enrolled at CICS - PRAIRIE.  81.1% are Low Income Students.  13.1% are Diverse Learners.  22% are Limited English Learners.,The largest demographic at CICS - PRAIRIE is Black.  This demographic makes up 63.2% of the student population.  The second greatest demographic is Hispanic at 32.5%.,FALSE,,Full Day,8:00 am-3:30 pm,,3:45pm-5:45pm,7:30 AM,,TRUE,,TRUE,,,,,,,,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Assistant Director,Yvonne Glenn,Dean of Students,Brandon Fielder,Campus Director of Operation,Ana Barrera,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.684433,-87.616888,POINT (-87.616888 41.684433),0,0,0
400029,2290,66181,CICS - WASHINGTON PARK,CICS - Washington Park,ES,FALSE,TRUE,TRUE,FALSE,"<p>Chicago International Charter School (CICS) - Washington Park Campus offers a curriculum that is aligned with state standards for each grade level in the areas of language arts, math, science, social science, physical education, technology, music, art, library and character education. CICS - Washington Park is managed by American Quality Schools.</p>",Director,Athena Giddens-Harden,Director of Operations,Warren Robinson,110 E 61ST ST,Chicago,Illinois,60637,7733470200,7733243302,https://www.cps.edu/schools/schoolprofiles/400029,https://regenerationschools.org/cics-washington-park,https://www.facebook.com/CICS-Washington-Park-1396312850614206/,https://twitter.com/CICS_schools,http://www.youtube.com/chicagointl,,FALSE,"K,1,2,3,4,5,6,7,8",K-8,458,376,59,1,414,15,0,0,1,0,0,2,0,26,There are 458 students enrolled at CICS - WASHINGTON PARK.  82.1% are Low Income Students.  12.9% are Diverse Learners.  0.2% are Limited English Learners.,The largest demographic at CICS - WASHINGTON PARK is Black.  This demographic makes up 90.4% of the student population.  The second greatest demographic is Other at 6.1%.,TRUE,,Full Day,7:45 AM-3:30 PM,,3:30 pm-5:30 pm,7:15 AM,,TRUE,,TRUE,,,,,,"3, 4, 29",Green,,,,,,,,NOT APPLICABLE,"Due to the effects of COVID-19, there is no school rating for SY 2022. Visit the <a href = 'https://www.cps.edu/strategic-initiatives/accountability-redesign/' target = '_blank'>Accountability Redesign page</a> for more information on how the district is redesigning its accountability system.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Elementary Principal,Athena Giddens,Middle School Principal,Ashley Terrell,,,,,,,Charter,FALSE,FALSE,FALSE,FALSE,9/1/2004,,41.783617,-87.622068,POINT (-87.622068 41.783617),0,0,0
