CommunityNo,ZIP Code(s),CommunityArea,FamilyUnits ,CondoUnits,Building_w_2_to_4Units,Building_w_5_more_Units,Forclosure2009,Forclosure2010,Forclosure2011,Forclosure2012,Forclosure2013,Forclosure2014,Forclosure2015,Forclosure2016,Forclosure2017,Forclosure2018,Forclosure2019,Forclosure2020,Forclosure2021,Forclosure2022,Forclosure2023,Sales2009,Sales2010,Sales2011,Sales2012,Sales2013,Sales2014,Sales2015,Sales2016,Sales2017,Sales2018,Sales2019,Sales2020,Sales2021,Sales2022,Sales2023,Morgages2009,Morgages2010,Morgages2011,Morgages2012,Morgages2013,Morgages2014,Morgages2015,Morgages2016,Morgages2017,Morgages2018,Morgages2019,Morgages2020,Morgages2021,Morgages2022,Morgages2023,pop_under_18,pop_18_to_45,po_45_to_65,pop_over_65,pop_under_poverty_level,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K
14,60625,Albany Park,0.201,0.142,0.307,0.35,342,375,257,222,123,61,61,44,47,31,36,17,9,18,16,295,328,309,381,437,413,446,517,478,450,408,412,593,448,357,985,903,769,1025,936,716,834,1023,827,697,809,1131,1463,675,431,0.203,0.445,0.241,0.112,0.134,0.125,0.188,0.293,0.393
1,60626,Rogers Park,0.052,0.281,0.074,0.594,418,467,371,345,224,102,85,60,63,53,53,15,14,60,30,460,455,445,534,600,541,518,624,701,631,686,553,820,656,530,1190,967,822,1150,1166,830,876,1053,975,888,925,1155,1655,847,561,0.168,0.471,0.251,0.11,0.206,0.219,0.229,0.315,0.237
57,60632,Archer Heights,0.45,0.034,0.433,0.083,112,128,97,81,45,34,30,20,22,22,14,7,5,15,8,88,100,99,91,133,125,106,112,98,101,99,78,118,88,78,190,167,155,219,203,176,185,187,174,151,170,205,306,172,118,0.247,0.379,0.226,0.148,0.099,0.212,0.251,0.243,0.295
2,60645,West Ridge,0.225,0.264,0.22,0.292,823,711,488,455,232,105,79,80,85,68,55,26,14,57,38,601,721,716,820,912,768,714,791,817,719,719,574,929,737,606,1657,1415,1243,1573,1481,1020,1243,1438,1280,1098,1176,1598,2178,1067,627,0.272,0.332,0.259,0.137,0.17,0.167,0.207,0.301,0.325
34,60616,Armour Square,0.175,0.276,0.359,0.191,8,21,13,25,14,6,2,5,5,3,,,3,4,2,93,57,50,70,53,85,83,103,102,104,77,51,114,76,80,242,217,166,198,187,127,142,155,165,167,141,142,194,90,84,0.177,0.323,0.265,0.235,0.209,0.353,0.178,0.255,0.214
3,60640,Uptown,0.028,0.373,0.049,0.55,234,280,260,261,146,88,47,55,50,44,41,16,5,39,19,681,507,455,648,884,868,877,1100,1315,1137,1042,834,1306,1003,706,2200,1777,1451,2086,1948,1291,1537,1854,1519,1243,1495,2194,2610,1199,740,0.115,0.527,0.24,0.117,0.198,0.232,0.154,0.305,0.31
70,60652,Ashburn,0.878,0.017,0.044,0.061,526,627,512,608,383,261,210,205,234,201,182,58,30,144,87,396,415,409,470,554,540,514,583,626,569,473,376,567,454,364,1166,874,781,1069,1179,867,879,1051,999,876,910,1081,1699,1025,704,0.24,0.365,0.263,0.132,0.134,0.144,0.162,0.338,0.356
4,60625,Lincoln Square,0.126,0.224,0.232,0.418,235,206,164,155,68,37,34,36,25,21,22,6,5,19,9,416,410,424,493,593,536,594,606,734,636,540,499,779,622,418,1538,1408,1214,1648,1418,1010,1217,1390,1133,931,1122,1578,1987,834,463,0.169,0.509,0.222,0.1,0.092,0.105,0.152,0.291,0.452
71,60620,Auburn Gresham,0.42,0.007,0.276,0.298,474,515,431,493,336,300,285,255,282,248,234,76,72,181,149,440,412,349,378,423,463,471,568,633,684,673,558,656,624,499,911,576,501,575,632,564,583,708,735,759,821,827,1197,977,813,0.239,0.337,0.24,0.185,0.261,0.33,0.238,0.243,0.189
5,60618,North Center,0.234,0.217,0.362,0.188,112,127,123,83,59,28,26,24,19,27,31,12,10,20,20,515,579,526,609,851,768,809,859,812,778,693,689,973,751,541,2281,2164,1958,2495,2135,1534,1898,2100,1472,1223,1620,2323,2760,1080,711,0.262,0.456,0.208,0.075,0.048,0.083,0.064,0.179,0.675
